  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:41:33      7.40      6.90
09:41:34     16.51      3.58
09:41:35      4.64      4.59
09:41:36      0.00      0.00
09:41:37      0.00      0.00
09:41:38      0.00      0.00
09:41:39      0.00      0.00
09:41:40      3.27      2.59
09:41:41      0.85      1.62
09:41:42      0.00      0.00
09:41:43      0.00      0.00
09:41:44      0.00      0.00
09:41:45      0.00      0.00
09:41:46      3.33      3.52
09:41:47      0.85      0.81
09:41:48      0.00      0.00
09:41:49      0.00      0.00
09:41:50      0.00      0.00
09:41:51      0.00      0.00
09:41:52      4.32      4.47
09:41:53      0.00      0.00
09:41:54      0.00      0.00
09:41:55      0.00      0.00
09:41:56      0.00      0.00
09:41:57      3.27      2.59
09:41:58      0.92      1.76
09:41:59      0.00      0.00
09:42:00      0.00      0.00
09:42:01      0.00      0.00
09:42:02      0.00      0.00
09:42:03      4.25      4.42
09:42:04    166.59     24.36
09:42:05     39.24     49.40
09:42:06     38.63     48.63
09:42:07     39.21     49.37
09:42:08     41.74     51.55
09:42:09     41.50     52.34
09:42:10     16.77     20.84
09:42:11     20.69     26.40
09:42:12     39.21     49.37
09:42:13     39.01     48.76
09:42:14     42.10     51.83
09:42:15     39.55     50.41
09:42:16     38.06     47.93
09:42:17     37.46     47.16
09:42:18     39.60     49.58
09:42:19     39.41     49.90
09:42:20    345.72     57.77
09:42:21     39.79     50.13
09:42:22     39.21     49.40
09:42:23     39.80     50.13
09:42:24     39.21     49.39
09:42:25     43.13     52.65
09:42:26     33.69     43.11
09:42:27     37.46     47.18
09:42:28     38.63     48.65
09:42:29     38.63     48.66
09:42:30     36.09     45.17
09:42:31      5.67      6.54
09:42:32     39.52     49.63
09:42:33     37.90     47.79
09:42:34     38.04     47.92
09:42:35     39.21     49.40
09:42:36    493.76     53.33
09:42:37     44.05     54.54
09:42:38     39.21     49.39
09:42:39     38.63     48.64
09:42:40     39.25     49.42
09:42:41     39.21     49.38
09:42:42     34.29     41.65
09:42:43     40.13     51.15
09:42:44     39.01     48.84
09:42:45     38.83     49.18
09:42:46     39.21     49.38
09:42:47     39.21     49.38
09:42:48     39.75     48.64
09:42:49     39.41     50.00
09:42:50     39.60     49.59
09:42:51     38.24     48.44
09:42:52    644.91     55.09
09:42:53     43.07     52.97
09:42:54     41.30     52.95
09:42:55     31.04     39.39
09:42:56     40.97     51.90
09:42:57     38.63     48.90
09:42:58     39.80     50.46
09:42:59     39.87     50.41
09:43:00     40.46     51.36
09:43:01     39.01     49.05
09:43:02     43.26     54.03
09:43:03     38.83     49.41
09:43:04     38.63     48.98
09:43:05     10.54     13.36
09:43:06     29.26     37.04
09:43:07     43.13     53.08
09:43:08    801.93     58.50
09:43:09     27.51     34.70
09:43:10     11.12     14.03
09:43:11     39.21     49.46
09:43:12     38.64     48.99
09:43:13     43.44     53.85
09:43:14     39.80     50.21
09:43:15     39.80     50.20
09:43:16      6.82      8.32
09:43:17     32.98     41.95
09:43:18     42.48     52.04
09:43:19     39.20     49.83
09:43:20     39.55     49.61
09:43:21     40.06     50.81
09:43:22     40.38     50.94
09:43:23     39.53     49.53
09:43:24     43.69     54.53
09:43:25    957.14     58.49
09:43:26     39.80     50.13
09:43:27     38.50     48.66
09:43:28     38.76     49.12
09:43:29      2.54      2.29
09:43:30     40.27     50.79
09:43:31     39.09     49.40
09:43:32     39.34     49.39
09:43:33     38.04     47.93
09:43:34     37.46     47.18
09:43:35     42.51     52.30
09:43:36     40.06     50.81
09:43:37     39.80     50.13
09:43:38     39.80     50.14
09:43:39     38.65     48.68
09:43:40     38.63     48.66
09:43:41   1111.88     60.95
09:43:42     39.21     49.40
09:43:43     38.39     48.02
09:43:44     38.89     49.33
09:43:45     38.08     47.96
09:43:46     40.08     49.09
09:43:47     39.68     50.42
09:43:48     38.63     48.66
09:43:49     31.99     40.01
09:43:50      5.47      7.25
09:43:51     38.63     48.65
09:43:52     42.23     52.28
09:43:53     39.01     48.78
09:43:54     38.83     49.27
09:43:55     13.85     17.16
09:43:56     23.61     30.09
09:43:57     42.63     52.07
09:43:58   1104.44     47.83
09:43:59      0.00      0.00
09:44:00      0.00      0.00
09:44:01      0.00      0.00
09:44:02      0.00      0.00
09:44:03     19.61     22.57
09:44:04      0.00      0.00
09:44:05      0.00      0.00
09:44:06      0.00      0.00
09:44:07      0.00      0.00
09:44:08      3.27      2.53
09:44:09      0.92      1.87
09:44:10      0.00      0.00
09:44:11      0.00      0.00
09:44:12      0.00      0.00
09:44:13      0.00      0.00
09:44:14      4.19      4.39
09:44:15      0.00      0.00
09:44:16      0.00      0.00
09:44:17      0.00      0.00
09:44:18      0.00      0.00
09:44:19      0.27      0.28
09:44:20      3.89      4.09
09:44:21      0.00      0.00
09:44:22      0.00      0.00
09:44:23      0.00      0.00
09:44:24      0.00      0.00
09:44:25      3.27      3.41
09:44:26      0.92      0.99
09:44:27      0.00      0.00
09:44:28      0.00      0.00
09:44:29      0.00      0.00
09:44:30      0.00      0.00
09:44:31      4.25      4.39
09:44:32      0.00      0.00
09:44:33      0.00      0.00
09:44:34      0.00      0.00
09:44:35      0.00      0.00
09:44:36      3.33      2.65
09:44:37      0.92      1.81
09:44:38      0.00      0.00
09:44:39      0.00      0.00
09:44:40      0.00      0.00
09:44:41      0.00      0.00
09:44:42      4.19      4.41
09:44:43      0.00      0.00
09:44:44      0.00      0.00
09:44:45      0.00      0.00
09:44:46      0.00      0.00
09:44:47      3.33      2.65
