  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
11:09:44      0.54      0.19
11:09:45      0.04      0.04
11:09:46      0.00      0.00
11:09:47      0.00      0.00
11:09:48      0.00      0.00
11:09:49      0.00      0.00
11:09:50      0.00      0.00
11:09:51      0.00      0.00
11:09:52      0.00      0.00
11:09:53      0.00      0.00
11:09:54      0.00      0.00
11:09:55      0.00      0.00
11:09:56      0.00      0.00
11:09:57      0.00      0.00
11:09:58      0.00      0.00
11:09:59      0.00      0.00
11:10:00      0.00      0.00
11:10:01      0.00      0.00
11:10:02      0.00      0.00
11:10:03      0.00      0.00
11:10:04      0.00      0.00
11:10:05      0.00      0.00
11:10:06      0.00      0.00
11:10:07      0.00      0.00
11:10:08      0.00      0.00
11:10:09      0.00      0.00
11:10:10      0.00      0.00
11:10:11      0.00      0.00
11:10:12      0.00      0.00
11:10:13      0.00      0.00
11:10:14      0.00      0.00
11:10:15      0.00      0.00
11:10:16      0.00      0.00
11:10:17      0.00      0.00
11:10:18     99.53    227.72
11:10:19    109.97    111.81
11:10:20    112.38    114.83
11:10:21      3.38      3.47
11:10:22    106.26    107.99
11:10:23    112.37    114.21
11:10:24     43.06     44.00
11:10:25     65.83     66.95
11:10:26    109.68    111.42
11:10:27    109.02    111.29
11:10:28     16.82     16.93
11:10:29     89.41     91.33
11:10:30    111.14    113.08
11:10:31    112.96    115.08
11:10:32    111.77    114.39
11:10:33    113.24    114.59
11:10:34    111.40    113.82
11:10:35    108.42    110.61
11:10:36    109.03    372.37
11:10:37    110.70    112.88
11:10:38    110.36    111.69
11:10:39    109.13    110.48
11:10:40    111.13    113.33
11:10:41    110.54    111.99
11:10:42    107.83    109.86
11:10:43    109.24    111.06
11:10:44    109.37    110.93
11:10:45    102.18    103.49
11:10:46    108.13    110.12
11:10:47    108.82    109.98
11:10:48    111.51    113.83
11:10:49    112.68    115.09
11:10:50    110.96    113.01
11:10:51    114.80    509.63
11:10:52    111.09    112.76
11:10:53    113.15    114.36
11:10:54    109.50    111.03
11:10:55    111.09    113.32
11:10:56     61.98     62.57
11:10:57     46.33     47.04
11:10:58    109.98    111.57
11:10:59    110.63    112.44
11:11:00    103.23    104.69
11:11:01    106.75    108.32
11:11:02    112.60    114.26
11:11:03    111.58    113.39
11:11:04    110.07    112.10
11:11:05    109.63    111.28
11:11:06    110.96    112.50
11:11:07    110.56    639.60
11:11:08    110.62    112.43
11:11:09    107.26    109.07
11:11:10    111.96    113.12
11:11:11    112.92    114.19
11:11:12     88.53     89.43
11:11:13     84.07     85.64
11:11:14    111.02    112.86
11:11:15    111.17    113.22
11:11:16    102.92    104.70
11:11:17    110.68    112.29
11:11:18    109.33    110.80
11:11:19    110.63    111.99
11:11:20    113.61    114.83
11:11:21    112.88    114.42
11:11:22    113.39    651.50
11:11:23    113.99    243.37
11:11:24    111.02    113.01
11:11:25    108.97    110.67
11:11:26    111.93    113.27
11:11:27    110.30    112.33
11:11:28    110.72    112.12
11:11:29    108.88    110.94
11:11:30    110.89    112.55
11:11:31    109.44    110.74
11:11:32    108.26    109.73
11:11:33     78.92     80.38
11:11:34     32.05     32.37
11:11:35    110.84    112.25
11:11:36    112.93    114.89
11:11:37    111.13    113.63
11:11:38    116.74    492.51
11:11:39    109.54    533.64
11:11:40    111.43    113.75
11:11:41    112.78    114.44
11:11:42    111.10    112.93
11:11:43    113.07    115.12
11:11:44    111.86    113.81
11:11:45    111.20    113.46
11:11:46    111.82    114.01
11:11:47    102.27    104.23
11:11:48    103.07    104.61
11:11:49      4.71      4.75
11:11:50    110.50    112.80
11:11:51    109.63    111.64
11:11:52     88.81     90.46
11:11:53    112.20    114.01
11:11:54    108.70    110.62
11:11:55    117.30   1048.17
11:11:56    107.90    109.54
11:11:57    110.08    112.48
11:11:58    112.02    112.89
11:11:59    110.76    113.18
11:12:00    109.68    110.99
11:12:01    108.90    110.97
11:12:02    107.10    109.05
11:12:03     52.92     54.05
11:12:04     51.41     52.43
11:12:05    108.81    110.93
11:12:06     55.05     55.92
11:12:07     49.31     50.40
11:12:08    107.64    108.77
11:12:09    107.01    108.84
11:12:10    107.80    108.96
11:12:11    106.94    109.19
11:12:12     83.19   1019.01
11:12:13      0.00      0.00
11:12:14      0.00      0.00
11:12:15      0.00      0.00
11:12:16      0.00      0.00
11:12:17     18.20     15.30
11:12:18      0.00      0.00
11:12:19      0.00      0.00
11:12:20      0.00      0.00
11:12:21      0.00      0.00
11:12:22      0.00      0.00
11:12:24      0.00      0.00
11:12:25      0.00      0.00
11:12:26      0.00      0.00
11:12:27      0.00      0.00
11:12:28      0.00      0.00
11:12:29      0.00      0.00
11:12:30      0.00      0.00
11:12:31      0.00      0.00
11:12:32      0.00      0.00
11:12:33      0.00      0.00
11:12:34      0.00      0.00
11:12:35      0.00      0.00
11:12:36      0.00      0.00
11:12:37      0.00      0.00
11:12:38      0.00      0.00
11:12:39      0.00      0.00
11:12:40      0.00      0.00
11:12:41      0.00      0.00
11:12:42      0.00      0.00
11:12:43      0.00      0.00
11:12:44      0.00      0.00
11:12:45      0.00      0.00
11:12:46      0.00      0.00
11:12:47      0.00      0.00
11:12:48      0.00      0.00
11:12:49      0.00      0.00
11:12:50      0.00      0.00
11:12:51      0.00      0.00
11:12:52      0.00      0.00
11:12:53      0.00      0.00
11:12:54      0.00      0.00
11:12:55      0.00      0.00
11:12:56      0.00      0.00
