  Time           eth0       
HH:MM:SS   KB/s in  KB/s out
09:41:31      0.59      0.23
09:41:32      0.00      0.00
09:41:33      0.00      0.00
09:41:34      0.00      0.00
09:41:35      0.00      0.00
09:41:36      0.00      0.00
09:41:37      0.00      0.00
09:41:38      0.00      0.00
09:41:39      0.00      0.00
09:41:40      0.00      0.00
09:41:41      0.00      0.00
09:41:42      0.00      0.00
09:41:43      0.00      0.00
09:41:44      0.00      0.00
09:41:45      0.00      0.00
09:41:46      0.00      0.00
09:41:47      0.00      0.00
09:41:48      0.00      0.00
09:41:49      0.00      0.00
09:41:50      0.00      0.00
09:41:51      0.00      0.00
09:41:52      0.00      0.00
09:41:53      0.00      0.00
09:41:54      0.00      0.00
09:41:55      0.00      0.00
09:41:56      0.00      0.00
09:41:57      0.00      0.00
09:41:58      0.00      0.00
09:41:59      0.00      0.00
09:42:00      0.00      0.00
09:42:01      0.00      0.00
09:42:02      0.00      0.00
09:42:03      0.00      0.00
09:42:04    171.09    242.83
09:42:05    161.28    150.31
09:42:06    161.05    149.74
09:42:07    162.04    150.19
09:42:08    162.88    150.57
09:42:09    163.07    150.66
09:42:10    104.39     97.16
09:42:11     52.00     47.91
09:42:12    160.41    148.68
09:42:13    163.47    151.08
09:42:14    159.96    148.05
09:42:15    158.79    147.91
09:42:16    156.64    144.50
09:42:17    154.69    143.43
09:42:18    163.30    151.56
09:42:19    163.54    151.13
09:42:20    431.83    451.34
09:42:21    162.97    150.80
09:42:22    161.96    150.18
09:42:23    163.64    151.80
09:42:24    162.67    150.93
09:42:25    162.64    151.81
09:42:26    162.41    150.00
09:42:27    128.59    119.23
09:42:28    161.82    150.17
09:42:29    157.29    145.70
09:42:30    164.84    152.41
09:42:31     20.73     19.35
09:42:32    133.94    123.50
09:42:33    156.10    144.27
09:42:34    159.80    148.40
09:42:35    158.28    146.90
09:42:36    163.61    151.36
09:42:37    566.62    602.78
09:42:38    162.38    150.10
09:42:39    159.75    148.45
09:42:40    162.23    150.01
09:42:41    161.81    150.16
09:42:42    128.63    119.90
09:42:43    160.68    148.75
09:42:44    161.24    149.28
09:42:45    163.24    150.74
09:42:46    160.66    148.51
09:42:47    162.62    150.96
09:42:48    147.48    137.11
09:42:49    160.88    148.75
09:42:50    163.53    151.46
09:42:51    159.19    146.78
09:42:52    697.51    750.35
09:42:53    163.36    151.67
09:42:54    167.18    154.75
09:42:55    129.23    119.45
09:42:56    168.07    155.57
09:42:57    165.13    152.83
09:42:58    164.43    151.96
09:42:59    161.65    149.89
09:43:00    165.30    153.11
09:43:01    163.94    151.42
09:43:02    161.94    150.12
09:43:03    159.01    147.79
09:43:04    162.36    149.58
09:43:05     79.65     74.30
09:43:06     83.76     77.21
09:43:07    166.25    154.64
09:43:08    838.91    905.42
09:43:09    150.41    138.72
09:43:10      7.94      7.52
09:43:11    163.90    151.84
09:43:12    159.11    147.74
09:43:13    162.86    151.00
09:43:14    164.89    152.14
09:43:15    165.22    152.96
09:43:16     64.44     59.72
09:43:17     99.83     92.35
09:43:18    167.71    155.31
09:43:19    156.58    144.92
09:43:20    158.12    146.69
09:43:21    167.44    154.79
09:43:22    165.56    153.25
09:43:23    164.50    152.10
09:43:24    162.46    151.41
09:43:25    974.96   1056.99
09:43:26    163.13    151.38
09:43:27    159.06    147.48
09:43:28    160.77    148.90
09:43:29     37.52     35.11
09:43:30    121.95    112.27
09:43:31    160.87    149.25
09:43:32    162.83    150.96
09:43:33    162.11    149.56
09:43:34    150.96    140.44
09:43:35    156.35    145.36
09:43:36    165.28    153.01
09:43:37    167.47    154.48
09:43:38    161.84    150.35
09:43:39    162.22    150.06
09:43:40    159.48    147.53
09:43:41   1102.82   1202.99
09:43:42    160.29    148.99
09:43:43    159.15    147.94
09:43:44    159.71    147.72
09:43:45    156.94    146.48
09:43:46    152.85    141.20
09:43:47    158.62    147.79
09:43:48    160.21    147.76
09:43:49    161.69    149.87
09:43:50      6.70      6.45
09:43:51    146.54    135.30
09:43:52    157.48    145.76
09:43:53    159.39    147.93
09:43:54    160.65    149.29
09:43:55     94.37     87.35
09:43:56     61.79     56.86
09:43:57    162.28    150.18
09:43:58   1111.85   1212.67
09:43:59      2.20      1.97
09:44:00      0.00      0.00
09:44:01      0.00      0.00
09:44:02      0.00      0.00
09:44:03      0.00      0.00
09:44:04      0.00      0.00
09:44:05      0.00      0.00
09:44:06      0.00      0.00
09:44:07      0.09      0.09
09:44:08      0.00      0.00
09:44:09      0.00      0.00
09:44:10      0.00      0.00
09:44:11      0.00      0.00
09:44:12      0.00      0.00
09:44:13      0.00      0.00
09:44:14      0.00      0.00
09:44:15      0.00      0.00
09:44:16      0.00      0.00
09:44:17      0.00      0.00
09:44:18      0.00      0.00
09:44:19      0.00      0.00
09:44:20      0.00      0.00
09:44:21      0.00      0.00
09:44:22      0.00      0.00
09:44:23      0.00      0.00
09:44:24      0.00      0.00
09:44:25      0.00      0.00
09:44:26      0.00      0.00
09:44:27      0.00      0.00
09:44:28      0.00      0.00
09:44:29      0.00      0.00
09:44:30      0.00      0.00
09:44:31      0.00      0.00
09:44:32      0.00      0.00
09:44:33      0.00      0.00
09:44:34      0.00      0.00
09:44:35      0.00      0.00
09:44:36      0.00      0.00
09:44:37      0.00      0.00
09:44:38      0.00      0.00
09:44:39      0.00      0.00
09:44:40      0.00      0.00
09:44:41      0.00      0.00
09:44:42      0.00      0.00
09:44:43      0.00      0.00
09:44:44      0.00      0.00
09:44:45      0.00      0.00
09:44:46      0.00      0.00
09:44:47      0.00      0.00
09:44:48      0.00      0.00
09:44:49      0.00      0.00
