____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:02 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1356.0 wakeup/s;CPU:  16.4% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  1.2%;450.4;Interrupt;[3] net_rx(softirq);  1.80 W  
  0.2%;295.1;Timer;tick_sched_timer;  1.17 W  
  0.2%; 87.0;Process;[PID 13034] postgres: stats collector  ;  346 mW  
  0.0%; 59.3;Process;[PID 11] [rcu_sched];  235 mW  
  0.1%; 37.7;Timer;hrtimer_wakeup;  150 mW  
  0.0%; 32.6;kWork;blk_mq_requeue_work;  129 mW  
  0.9%; 27.5;Process;[PID 11660] postgres ;  122 mW  
  0.1%; 21.6;Interrupt;[4] block(softirq); 86.2 mW  
  0.0%; 19.1;kWork;free_work; 75.7 mW  
  0.0%; 14.9;Process;[PID 8674] /usr/bin/containerd ; 59.2 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
 12.2 ms/s;450.4;;;;Interrupt;[3] net_rx(softirq);  1.80 W  
  1.7 ms/s;295.1;;;;Timer;tick_sched_timer;  1.17 W  
  1.8 ms/s; 87.0;;;;Process;[PID 13034] postgres: stats collector  ;  346 mW  
260.1 us/s; 59.3;;;;Process;[PID 11] [rcu_sched];  235 mW  
516.9 us/s; 37.7;;;;Timer;hrtimer_wakeup;  150 mW  
281.6 us/s; 32.6;;;;kWork;blk_mq_requeue_work;  129 mW  
  8.7 ms/s; 27.5;;;;Process;[PID 11660] postgres ;  122 mW  
602.1 us/s; 21.6;;;;Interrupt;[4] block(softirq); 86.2 mW  
104.7 us/s; 19.1;;;;kWork;free_work; 75.7 mW  
298.5 us/s; 14.9;;;;Process;[PID 8674] /usr/bin/containerd ; 59.2 mW  
  0.9 ms/s; 13.3;;;;Interrupt;[7] sched(softirq); 54.1 mW  
156.2 us/s; 10.1;;;;Process;[PID 8672] /usr/bin/containerd ; 40.2 mW  
268.7 us/s;  6.6;;;;Process;[PID 8675] /usr/bin/containerd ; 26.5 mW  
 98.8 us/s;  5.7;;;;Process;[PID 13062] mongod --auth --bind_ip_all ; 22.8 mW  
140.8 us/s;  5.4;;;;Process;[PID 13071] mongod --auth --bind_ip_all ; 21.5 mW  
 21.6 us/s;  4.2;;;;kWork;psi_avgs_work; 16.6 mW  
 40.3 us/s;  3.9;;;;Process;[PID 10260] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 15.6 mW  
 65.9 us/s;  2.1;;;;Process;[PID 18] [ksoftirqd/1]; 8.52 mW  
 55.6 us/s;  1.8;;;;Process;[PID 13032] postgres: walwriter  ; 7.19 mW  
 49.3 us/s;  1.6;;;;Process;[PID 13031] postgres: background writer  ; 6.39 mW  
 59.7 us/s;  1.3;;;;Process;[PID 10696] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 5.36 mW  
 48.7 us/s;  1.0;;;;Process;[PID 10710] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock ; 4.02 mW  
 32.5 us/s;  0.9;;;;Process;[PID 13054] mongod --auth --bind_ip_all ; 3.74 mW  
692.3 us/s;  0.7;;;;Process;[PID 13078] mongod --auth --bind_ip_all ; 3.71 mW  
268.7 us/s;  0.7;;;;Process;[PID 18037] postgres; 3.31 mW  
268.1 us/s;  0.7;;;;Process;[PID 18033] postgres; 3.31 mW  
267.5 us/s;  0.7;;;;Process;[PID 17806] postgres; 3.31 mW  
266.4 us/s;  0.7;;;;Process;[PID 17846] postgres; 3.31 mW  
263.3 us/s;  0.7;;;;Process;[PID 17752] postgres; 3.31 mW  
262.7 us/s;  0.7;;;;Process;[PID 17730] postgres; 3.31 mW  
259.3 us/s;  0.7;;;;Process;[PID 18085] postgres; 3.30 mW  
 22.8 us/s;  0.8;;;;Process;[PID 530] /sbin/multipathd -d -s ; 3.19 mW  
  5.6 us/s;  0.8;;;;Process;[PID 10] [ksoftirqd/0]; 3.17 mW  
340.9 us/s;  0.7;;;;Process;[PID 17984] postgres; 3.16 mW  
329.4 us/s;  0.7;;;;Process;[PID 18039] postgres; 3.15 mW  
326.2 us/s;  0.7;;;;Process;[PID 18041] postgres; 3.14 mW  
323.4 us/s;  0.7;;;;Process;[PID 18121] postgres; 3.14 mW  
320.0 us/s;  0.7;;;;Process;[PID 17755] postgres; 3.13 mW  
315.6 us/s;  0.7;;;;Process;[PID 17787] postgres; 3.12 mW  
