____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:43:47 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  1285.5 wakeup/s;CPU:  22.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.9%;503.7;Interrupt;[3] net_rx(softirq);  2.00 W  
  0.1%;265.9;Timer;tick_sched_timer;  1.05 W  
  0.0%; 56.5;Process;[PID 11] [rcu_sched];  223 mW  
  0.5%; 38.5;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ;  161 mW  
  0.4%; 21.2;Process;[PID 374] /lib/systemd/systemd-journald ; 89.2 mW  
  0.0%; 21.4;kWork;free_work; 84.7 mW  
  0.1%; 12.0;Interrupt;[7] sched(softirq); 48.7 mW  
  0.0%; 11.1;Timer;hrtimer_wakeup; 44.0 mW  
  0.0%; 10.2;Interrupt;[32] virtio1-output.0; 40.9 mW  
  0.0%;  5.5;Process;[PID 8761] /usr/bin/containerd ; 22.0 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  9.0 ms/s;503.7;;;;Interrupt;[3] net_rx(softirq);  2.00 W  
  1.2 ms/s;265.9;;;;Timer;tick_sched_timer;  1.05 W  
140.5 us/s; 56.5;;;;Process;[PID 11] [rcu_sched];  223 mW  
  5.4 ms/s; 38.5;;;;Process;[PID 16714] /usr/bin/python3 /usr/bin/flask run --host=0.0.0.0 -p 8000 ;  161 mW  
  3.5 ms/s; 21.2;;;;Process;[PID 374] /lib/systemd/systemd-journald ; 89.2 mW  
125.8 us/s; 21.4;;;;kWork;free_work; 84.7 mW  
  0.8 ms/s; 12.0;;;;Interrupt;[7] sched(softirq); 48.7 mW  
175.1 us/s; 11.1;;;;Timer;hrtimer_wakeup; 44.0 mW  
396.1 us/s; 10.2;;;;Interrupt;[32] virtio1-output.0; 40.9 mW  
 95.0 us/s;  5.5;;;;Process;[PID 8761] /usr/bin/containerd ; 22.0 mW  
 25.9 us/s;  4.7;;;;kWork;psi_avgs_work; 18.7 mW  
199.1 us/s;  4.6;;;;Process;[PID 8766] /usr/bin/containerd ; 18.5 mW  
156.4 us/s;  3.9;;;;Process;[PID 8768] /usr/bin/containerd ; 15.8 mW  
 14.8 us/s;  3.9;;;;Process;[PID 867] /usr/lib/snapd/snapd ; 15.6 mW  
 25.4 us/s;  1.9;;;;Process;[PID 18] [ksoftirqd/1]; 7.67 mW  
  7.2 us/s;  1.7;;;;Process;[PID 24] [ksoftirqd/2]; 6.59 mW  
357.2 us/s;  0.9;;;;Process;[PID 24386] flask; 4.24 mW  
347.5 us/s;  0.9;;;;Process;[PID 24377] flask; 4.23 mW  
441.6 us/s;  0.9;;;;Process;[PID 24755] flask; 4.11 mW  
410.8 us/s;  0.9;;;;Process;[PID 24433] flask; 4.06 mW  
409.4 us/s;  0.9;;;;Process;[PID 24517] flask; 4.06 mW  
404.3 us/s;  0.9;;;;Process;[PID 24401] flask; 4.05 mW  
401.9 us/s;  0.9;;;;Process;[PID 24484] flask; 4.05 mW  
399.6 us/s;  0.9;;;;Process;[PID 24558] flask; 4.04 mW  
