____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Sat Oct  8 09:44:21 2022

Kernel Version;Linux version 5.4.0-104-generic
System Name;pc-i440fx-4.1
CPU Information;4 Intel Xeon Processor (Skylake)
OS Information;Ubuntu 20.04.4 LTS

Target: 1 units/s;System:  246.8 wakeup/s;CPU:  105.9% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 97.7%; 0.07;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  1.52 W  
  0.1%; 35.9;Timer;tick_sched_timer;  144 mW  
  0.0%; 19.7;Process;[PID 11] [rcu_sched]; 77.8 mW  
  0.0%; 18.9;Process;[PID 8813] /usr/bin/containerd ; 74.8 mW  
  0.0%; 18.2;Interrupt;[7] sched(softirq); 72.4 mW  
  0.0%; 17.4;Process;[PID 868] /usr/lib/snapd/snapd ; 69.0 mW  
  0.0%; 12.1;Timer;hrtimer_wakeup; 48.4 mW  
  0.0%; 11.1;Process;[PID 8814] /usr/bin/containerd ; 44.4 mW  
  0.0%; 10.3;Process;[PID 804] /lib/systemd/systemd-logind ; 41.2 mW  
  0.1%;  9.1;Process;[PID 1] /sbin/init ; 37.2 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
Idle; 100.0% 
;
;
;
;

CPU 0
Idle; 100.0% 
CPU 1
Idle; 100.0% 
CPU 2
Idle; 100.0% 
CPU 3
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
976.8 ms/s; 0.07;;;;Process;[PID 16724] /usr/bin/python3 /data/code/app1.py ;  1.52 W  
  1.4 ms/s; 35.9;;;;Timer;tick_sched_timer;  144 mW  
 75.6 us/s; 19.7;;;;Process;[PID 11] [rcu_sched]; 77.8 mW  
185.6 us/s; 18.9;;;;Process;[PID 8813] /usr/bin/containerd ; 74.8 mW  
330.8 us/s; 18.2;;;;Interrupt;[7] sched(softirq); 72.4 mW  
189.2 us/s; 17.4;;;;Process;[PID 868] /usr/lib/snapd/snapd ; 69.0 mW  
290.5 us/s; 12.1;;;;Timer;hrtimer_wakeup; 48.4 mW  
254.7 us/s; 11.1;;;;Process;[PID 8814] /usr/bin/containerd ; 44.4 mW  
444.6 us/s; 10.3;;;;Process;[PID 804] /lib/systemd/systemd-logind ; 41.2 mW  
  0.7 ms/s;  9.1;;;;Process;[PID 1] /sbin/init ; 37.2 mW  
253.6 us/s;  8.6;;;;Process;[PID 8820] /usr/bin/containerd ; 34.3 mW  
 15.4 ms/s; 0.07;;;;Process;[PID 20912] landscape-sysin; 24.3 mW  
 33.2 us/s;  6.1;;;;kWork;psi_avgs_work; 24.3 mW  
 14.9 ms/s; 0.07;;;;Process;[PID 20819] landscape-sysin; 23.6 mW  
 99.4 us/s;  4.8;;;;Interrupt;[3] net_rx(softirq); 19.1 mW  
355.0 us/s;  4.6;;;;Process;[PID 1089] /usr/lib/snapd/snapd ; 18.7 mW  
 11.9 ms/s;;;;;Process;[PID 20999] landscape-sysin; 18.6 mW  
 24.8 us/s;  4.3;;;;kWork;free_work; 17.1 mW  
  1.6 ms/s;  3.5;;;;Process;[PID 411] /lib/systemd/systemd-udevd ; 16.3 mW  
133.5 us/s;  3.1;;;;Process;[PID 899] /usr/lib/snapd/snapd ; 12.3 mW  
  0.9 ms/s;  2.3;;;;Process;[PID 20794] sshd; 10.7 mW  
  0.9 ms/s;  2.1;;;;Process;[PID 20884] sshd; 9.89 mW  
135.9 us/s;  2.1;;;;Process;[PID 901] /usr/lib/snapd/snapd ; 8.63 mW  
  0.8 ms/s;  1.7;;;;Process;[PID 20974] sshd: outscale [priv] ; 8.14 mW  
500.6 us/s;  1.7;;;;Process;[PID 378] /lib/systemd/systemd-journald ; 7.62 mW  
175.8 us/s;  1.7;;;;kWork;memcg_kmem_cache_create_func; 7.12 mW  
